house,bravery_score,wisdom_score,ambition_score,loyalty_score,leadership,impulsiveness,justice_oriented,risk_taking,bravery_loyalty_ratio,wisdom_ambition_ratio,leadership_potential,moral_flexibility,calculated_thinking,courage_type,gryffindor_composite,hufflepuff_composite,ravenclaw_composite,slytherin_composite
Ravenclaw,5,9,7,6,8,3,7,4,0.819672131147541,1.267605633802817,6.666666666666667,3,8.0,2.0,5.55,5.8,8.15,6.85
Ravenclaw,3,10,9,6,5,4,7,7,0.49180327868852464,1.098901098901099,5.666666666666667,3,8.0,2.1,5.550000000000001,5.25,8.3,7.0
Gryffindor,7,9,7,6,6,6,10,10,1.1475409836065575,1.267605633802817,6.666666666666667,0,6.5,7.0,8.1,6.1,7.375000000000001,5.75
Ravenclaw,3,8,9,5,4,3,8,4,0.5882352941176471,0.8791208791208791,5.333333333333333,2,7.5,1.2,4.95,5.25,7.2749999999999995,6.15
Slytherin,8,7,8,5,7,3,7,6,1.5686274509803924,0.8641975308641976,7.666666666666667,3,7.0,4.8,6.6000000000000005,5.2,7.199999999999999,6.550000000000001
Gryffindor,10,5,7,6,10,7,10,7,1.639344262295082,0.7042253521126761,9.0,0,4.0,7.0,8.4,5.95,6.15,5.949999999999999
Hufflepuff,7,6,3,10,4,3,9,8,0.6930693069306931,1.9354838709677418,4.666666666666667,1,6.5,5.6,8.45,8.700000000000001,5.124999999999999,3.45
Hufflepuff,6,5,4,8,3,3,6,3,0.7407407407407408,1.2195121951219514,4.333333333333333,4,6.0,1.8,5.9,6.95,4.65,3.95
Slytherin,7,9,9,6,10,7,5,8,1.1475409836065575,0.989010989010989,8.666666666666666,5,6.0,5.6,6.449999999999999,4.300000000000001,8.45,8.45
Hufflepuff,4,5,5,10,6,2,8,5,0.39603960396039606,0.9803921568627452,5.0,2,6.5,2.0,6.7,8.2,5.575,4.65
Gryffindor,8,7,6,6,7,7,8,10,1.3114754098360657,1.1475409836065575,7.0,2,5.0,8.0,7.9,5.65,6.300000000000001,5.65
Gryffindor,7,5,9,8,8,6,8,9,0.8641975308641976,0.5494505494505495,8.0,2,4.5,6.3,7.8999999999999995,6.0,6.275,6.550000000000001
Hufflepuff,5,8,3,8,5,4,6,5,0.617283950617284,2.5806451612903225,4.333333333333333,4,7.0,2.5,6.0,7.0,6.15,4.7
Gryffindor,8,6,8,9,10,7,9,8,0.8791208791208791,0.7407407407407408,8.666666666666666,1,4.5,6.4,8.5,6.7,6.824999999999999,6.7
Slytherin,6,9,8,3,8,2,3,5,1.9354838709677418,1.1111111111111112,7.333333333333333,7,8.5,3.0,4.3,3.55,8.475,8.0
Gryffindor,8,5,9,9,9,7,10,10,0.8791208791208791,0.5494505494505495,8.666666666666666,0,4.0,8.0,9.15,6.75,6.35,6.4
Slytherin,8,8,8,5,9,4,4,6,1.5686274509803924,0.9876543209876544,8.333333333333334,6,7.0,4.8,5.8500000000000005,4.3,7.95,7.8500000000000005
Ravenclaw,3,9,6,5,7,4,7,7,0.5882352941176471,1.4754098360655739,5.333333333333333,3,7.5,2.1,5.3,5.449999999999999,7.625000000000001,6.25
Slytherin,8,6,9,6,8,6,6,6,1.3114754098360657,0.6593406593406593,8.333333333333334,4,5.0,4.8,6.6000000000000005,4.7,6.75,7.15
Ravenclaw,3,9,7,5,8,3,8,5,0.5882352941176471,1.267605633802817,6.0,2,8.0,1.5,5.15,5.6499999999999995,8.15,6.6499999999999995
Gryffindor,8,7,8,6,9,8,10,10,1.3114754098360657,0.8641975308641976,8.333333333333334,0,4.5,8.0,8.4,5.6000000000000005,6.975,6.45
Slytherin,6,7,8,6,9,3,3,5,0.9836065573770493,0.8641975308641976,7.666666666666667,7,7.0,3.0,5.05,4.6000000000000005,7.599999999999999,7.8500000000000005
Gryffindor,10,7,6,10,9,8,8,9,0.9900990099009901,1.1475409836065575,8.333333333333334,2,4.5,9.0,9.3,7.1,6.575,6.15
Ravenclaw,6,9,9,8,6,2,8,6,0.7407407407407408,0.989010989010989,7.0,2,8.5,3.6,7.0,6.6000000000000005,8.275,6.8500000000000005
Hufflepuff,6,6,3,9,6,5,9,5,0.6593406593406593,1.9354838709677418,5.0,1,5.5,3.0,7.3,8.0,5.2749999999999995,3.95
Ravenclaw,7,10,9,7,6,3,8,6,0.9859154929577465,1.098901098901099,7.333333333333333,2,8.5,4.2,7.05,6.050000000000001,8.625,7.050000000000001
Gryffindor,7,6,9,9,8,6,9,9,0.7692307692307693,0.6593406593406593,8.0,1,5.0,6.3,8.4,6.6499999999999995,6.75,6.550000000000001
Slytherin,8,8,10,4,9,3,7,5,1.9512195121951221,0.7920792079207921,9.0,3,7.5,4.0,6.15,4.4,8.475,7.949999999999999
Ravenclaw,5,8,7,5,5,2,8,4,0.9803921568627452,1.1267605633802817,5.666666666666667,2,8.0,2.0,5.55,5.8,7.2,5.7
Gryffindor,7,6,6,9,10,8,9,8,0.7692307692307693,0.9836065573770493,7.666666666666667,1,4.0,5.6,8.2,6.949999999999999,6.3,6.0
Gryffindor,9,5,8,7,9,8,8,10,1.267605633802817,0.617283950617284,8.666666666666666,2,3.5,9.0,8.45,5.500000000000001,6.0249999999999995,6.45
Gryffindor,7,5,6,6,6,8,8,9,1.1475409836065575,0.819672131147541,6.333333333333333,2,3.5,6.3,7.3999999999999995,5.5,5.025,5.0
Gryffindor,7,4,8,8,9,7,5,6,0.8641975308641976,0.4938271604938272,8.0,5,3.5,4.2,6.55,5.300000000000001,5.675,6.85
Ravenclaw,6,8,7,5,7,3,5,6,1.1764705882352942,1.1267605633802817,6.666666666666667,5,7.5,3.6,5.5,4.9,7.4750000000000005,6.799999999999999
Hufflepuff,5,8,3,9,4,3,9,3,0.5494505494505495,2.5806451612903225,4.0,1,7.5,1.5,6.6,8.3,6.075,3.85
Gryffindor,9,6,5,9,10,6,8,10,0.989010989010989,1.1764705882352942,8.0,2,5.0,9.0,8.95,7.199999999999999,6.35,5.8500000000000005
Gryffindor,8,6,9,6,9,7,7,8,1.3114754098360657,0.6593406593406593,8.666666666666666,3,4.5,6.4,7.25,4.800000000000001,6.824999999999999,7.200000000000001
Hufflepuff,7,8,6,8,4,5,6,4,0.8641975308641976,1.3114754098360657,5.666666666666667,4,6.5,2.8,6.3999999999999995,6.25,6.425,5.499999999999999
Gryffindor,10,5,9,7,10,9,8,8,1.4084507042253522,0.5494505494505495,9.666666666666666,2,3.0,8.0,8.35,5.150000000000001,6.3,7.050000000000001
Ravenclaw,6,10,8,5,4,3,6,5,1.1764705882352942,1.234567901234568,6.0,4,8.5,3.0,5.55,4.95,8.025,6.6
Ravenclaw,7,9,9,6,5,3,5,6,1.1475409836065575,0.989010989010989,7.0,5,8.0,4.2,6.05,4.9,7.95,7.2
Hufflepuff,7,6,6,10,4,5,9,3,0.6930693069306931,0.9836065573770493,5.666666666666667,1,5.5,2.1,7.449999999999999,7.8,5.475,4.5
Hufflepuff,7,6,3,8,3,4,7,6,0.8641975308641976,1.9354838709677418,4.333333333333333,3,6.0,4.2,7.05,7.25,4.799999999999999,3.6
Ravenclaw,4,8,9,8,7,5,6,6,0.4938271604938272,0.8791208791208791,6.666666666666667,4,6.5,2.4,5.9,5.65,7.625,7.3
Gryffindor,8,4,8,8,7,7,7,9,0.9876543209876544,0.4938271604938272,7.666666666666667,3,3.5,7.2,7.95,5.800000000000001,5.275,5.949999999999999
Ravenclaw,4,8,9,10,8,4,8,6,0.39603960396039606,0.8791208791208791,7.0,2,7.0,2.4,6.9,7.1,7.949999999999999,7.15
Hufflepuff,7,5,3,9,4,4,6,3,0.7692307692307693,1.6129032258064515,4.666666666666667,4,5.5,2.1,6.449999999999999,7.4,4.525,3.8499999999999996
Gryffindor,8,7,7,8,9,6,8,8,0.9876543209876544,0.9859154929577465,8.0,2,5.5,6.4,8.0,6.4,7.0249999999999995,6.5
Hufflepuff,5,6,6,8,4,2,7,5,0.617283950617284,0.9836065573770493,5.0,3,7.0,2.5,6.25,6.95,5.85,4.9
Slytherin,8,6,10,5,8,4,6,5,1.5686274509803924,0.594059405940594,8.666666666666666,4,6.0,4.0,6.15,4.4,7.199999999999999,7.5
Slytherin,6,6,8,7,7,5,4,5,0.8450704225352114,0.7407407407407408,7.0,6,5.5,3.0,5.55,4.95,6.475,6.95
Hufflepuff,5,7,4,10,5,2,9,3,0.49504950495049505,1.707317073170732,4.666666666666667,1,7.5,1.5,6.85,8.65,6.124999999999999,4.25
Slytherin,8,9,9,4,7,6,5,5,1.9512195121951221,0.989010989010989,8.0,5,6.5,4.0,5.65,3.6500000000000004,7.9750000000000005,7.7
Gryffindor,10,8,6,7,10,8,7,9,1.4084507042253522,1.3114754098360657,8.666666666666666,3,5.0,9.0,8.3,5.65,7.25,6.799999999999999
Gryffindor,8,5,6,7,9,7,9,10,1.1267605633802817,0.819672131147541,7.666666666666667,1,4.0,8.0,8.4,6.300000000000001,5.75,5.55
Slytherin,8,7,8,4,8,6,4,5,1.9512195121951221,0.8641975308641976,8.0,6,5.5,4.0,5.4,3.6,7.025,7.4
Ravenclaw,7,10,7,6,9,5,7,7,1.1475409836065575,1.4084507042253522,7.666666666666667,3,7.5,4.9,6.75,5.5,8.575000000000001,7.299999999999999
Slytherin,6,10,8,7,9,3,7,5,0.8450704225352114,1.234567901234568,7.666666666666667,3,8.5,3.0,6.3,6.000000000000001,9.025,7.65
Slytherin,7,7,8,3,7,4,4,7,2.258064516129032,0.8641975308641976,7.333333333333333,6,6.5,4.9,5.25,3.5,7.074999999999999,7.15
Hufflepuff,7,8,5,10,6,5,8,6,0.6930693069306931,1.5686274509803924,6.0,2,6.5,4.2,7.8,7.75,6.625,5.25
Slytherin,7,9,8,5,7,6,5,8,1.3725490196078431,1.1111111111111112,7.333333333333333,5,6.5,5.6,6.199999999999999,4.25,7.775,7.35
Hufflepuff,5,5,3,10,5,2,10,3,0.49504950495049505,1.6129032258064515,4.333333333333333,0,6.5,1.5,7.1,9.1,4.975,3.3
Gryffindor,7,3,7,8,10,8,9,10,0.8641975308641976,0.4225352112676057,8.0,1,2.5,7.0,8.35,6.3500000000000005,5.075,5.749999999999999
Slytherin,6,6,8,7,10,6,7,6,0.8450704225352114,0.7407407407407408,8.0,3,5.0,3.6,6.5,5.550000000000001,6.949999999999999,7.1
Gryffindor,7,7,7,7,10,9,10,7,0.9859154929577465,0.9859154929577465,8.0,0,4.0,4.9,7.75,6.050000000000001,6.85,6.35
Gryffindor,10,4,8,6,9,7,10,10,1.639344262295082,0.4938271604938272,9.0,0,3.5,10.0,9.0,5.750000000000001,5.675,5.85
Slytherin,7,6,9,5,9,3,4,5,1.3725490196078431,0.6593406593406593,8.333333333333334,6,6.5,3.5,5.35,4.25,7.324999999999999,7.800000000000001
Ravenclaw,3,9,8,6,7,2,5,6,0.49180327868852464,1.1111111111111112,6.0,5,8.5,1.8,4.85,5.250000000000001,8.275,7.35
Ravenclaw,3,8,9,7,5,4,5,6,0.4225352112676057,0.8791208791208791,5.666666666666667,5,7.0,1.8,5.1,5.15,7.35,7.0
Slytherin,6,8,8,4,10,4,5,6,1.4634146341463417,0.9876543209876544,8.0,5,7.0,3.6,5.25,4.15,8.15,7.9
Ravenclaw,8,9,9,7,5,7,8,7,1.1267605633802817,0.989010989010989,7.333333333333333,2,6.0,5.6,7.550000000000001,5.450000000000001,7.45,6.6000000000000005
Slytherin,5,8,9,7,7,5,3,5,0.7042253521126761,0.8791208791208791,7.0,7,6.5,2.5,5.0,4.5,7.625,7.9
Slytherin,5,7,9,6,8,5,3,7,0.819672131147541,0.7692307692307693,7.333333333333333,7,6.0,3.5,5.15,4.1000000000000005,7.35,7.950000000000001
Slytherin,6,6,9,7,7,3,7,6,0.8450704225352114,0.6593406593406593,7.333333333333333,3,6.5,3.6,6.5,5.800000000000001,6.925,6.700000000000001
Ravenclaw,6,9,9,8,7,2,6,5,0.7407407407407408,0.989010989010989,7.333333333333333,4,8.5,3.0,6.3,6.1000000000000005,8.475,7.5
Hufflepuff,4,7,6,9,3,7,8,5,0.43956043956043955,1.1475409836065575,4.333333333333333,2,5.0,2.0,6.45,6.85,5.5,4.65
Slytherin,8,7,10,5,10,5,4,5,1.5686274509803924,0.6930693069306931,9.333333333333334,6,6.0,4.0,5.65,3.75,7.949999999999999,8.600000000000001
Hufflepuff,5,6,5,9,8,2,8,3,0.5494505494505495,1.1764705882352942,6.0,2,7.0,1.5,6.35,7.8,6.449999999999999,5.3500000000000005
Hufflepuff,7,7,5,9,3,5,9,5,0.7692307692307693,1.3725490196078431,5.0,1,6.0,3.5,7.6,7.6,5.549999999999999,4.1000000000000005
Ravenclaw,3,10,7,7,4,5,6,7,0.4225352112676057,1.4084507042253522,4.666666666666667,4,7.5,2.1,5.550000000000001,5.65,7.575,6.249999999999999
Gryffindor,7,8,7,9,9,7,8,9,0.7692307692307693,1.1267605633802817,7.666666666666667,2,5.5,6.3,8.15,6.6499999999999995,7.375,6.699999999999999
Slytherin,6,6,9,6,7,4,6,5,0.9836065573770493,0.6593406593406593,7.333333333333333,4,6.0,3.0,5.8,5.0,6.8,6.9
Gryffindor,10,8,9,8,9,9,8,9,1.234567901234568,0.8791208791208791,9.333333333333334,2,4.5,9.0,8.8,5.550000000000001,7.5249999999999995,7.4
Slytherin,6,5,10,6,10,6,7,5,0.9836065573770493,0.49504950495049505,8.666666666666666,3,4.5,3.0,6.05,4.75,6.875,7.6
Ravenclaw,2,9,6,3,6,3,5,5,0.6451612903225806,1.4754098360655739,4.666666666666667,5,8.0,1.0,3.6,4.3,7.550000000000001,6.3999999999999995
Ravenclaw,6,10,6,8,4,5,5,7,0.7407407407407408,1.639344262295082,5.333333333333333,5,7.5,4.2,6.45,6.0,7.375,6.1
Gryffindor,9,5,6,6,7,9,8,7,1.4754098360655739,0.819672131147541,7.333333333333333,2,3.0,6.3,7.6,5.3500000000000005,5.1000000000000005,5.25
Slytherin,5,8,8,7,8,4,5,7,0.7042253521126761,0.9876543209876544,7.0,5,7.0,3.5,5.9,5.350000000000001,7.75,7.4
Ravenclaw,3,8,9,5,7,2,7,5,0.5882352941176471,0.8791208791208791,6.333333333333333,3,8.0,1.5,4.9,5.15,8.0,7.1
Ravenclaw,7,9,6,5,4,2,5,5,1.3725490196078431,1.4754098360655739,5.666666666666667,5,8.5,3.5,5.6,5.25,7.275,5.8999999999999995
Slytherin,5,7,8,7,7,6,5,7,0.7042253521126761,0.8641975308641976,6.666666666666667,5,5.5,3.5,5.9,5.050000000000001,6.825,6.95
Gryffindor,9,7,6,6,10,7,10,7,1.4754098360655739,1.1475409836065575,8.333333333333334,0,5.0,6.3,8.1,6.15,6.9,6.0
Hufflepuff,5,5,3,8,6,3,9,4,0.617283950617284,1.6129032258064515,4.666666666666667,1,6.0,2.0,6.55,7.9,5.050000000000001,3.75
Gryffindor,9,6,5,8,7,8,7,10,1.1111111111111112,1.1764705882352942,7.0,3,4.0,9.0,8.45,6.25,5.5,5.300000000000001
Hufflepuff,6,8,8,9,6,5,7,4,0.6593406593406593,0.9876543209876544,6.666666666666667,3,6.5,2.4,6.6,6.5,7.2250000000000005,6.5
Hufflepuff,4,7,3,8,4,2,7,3,0.4938271604938272,2.258064516129032,3.6666666666666665,3,7.5,1.2,5.550000000000001,7.550000000000001,5.724999999999999,4.050000000000001
Hufflepuff,4,7,6,10,3,2,8,4,0.39603960396039606,1.1475409836065575,4.333333333333333,2,7.5,1.6,6.5,8.0,6.125,4.65
Gryffindor,7,6,5,9,8,6,9,7,0.7692307692307693,1.1764705882352942,6.666666666666667,1,5.0,4.9,8.0,7.449999999999999,5.949999999999999,5.15
Slytherin,6,6,10,7,10,6,7,6,0.8450704225352114,0.594059405940594,8.666666666666666,3,5.0,3.6,6.5,5.15,7.35,7.800000000000001
Hufflepuff,4,8,5,10,4,2,6,3,0.39603960396039606,1.5686274509803924,4.333333333333333,4,8.0,1.2,5.800000000000001,7.7,6.6,5.1499999999999995
Slytherin,7,6,8,4,9,5,5,8,1.707317073170732,0.7407407407407408,8.0,5,5.5,5.6,5.949999999999999,4.0,6.874999999999999,7.25
Hufflepuff,6,6,5,9,4,4,9,3,0.6593406593406593,1.1764705882352942,5.0,1,6.0,1.8,6.9,7.75,5.3999999999999995,4.15
Hufflepuff,4,7,5,9,6,4,6,3,0.43956043956043955,1.3725490196078431,5.0,4,6.5,1.2,5.550000000000001,7.0,6.2749999999999995,5.45
Slytherin,7,7,8,5,9,5,3,7,1.3725490196078431,0.8641975308641976,8.0,7,6.0,4.9,5.5,3.9,7.35,7.8500000000000005
Hufflepuff,7,8,3,9,3,2,7,7,0.7692307692307693,2.5806451612903225,4.333333333333333,3,8.0,4.9,7.5,7.95,6.0,4.0
Gryffindor,10,8,5,9,8,8,8,7,1.098901098901099,1.5686274509803924,7.666666666666667,2,5.0,7.0,8.65,6.8999999999999995,6.65,5.75
Ravenclaw,4,10,6,7,7,3,5,5,0.5633802816901409,1.639344262295082,5.666666666666667,5,8.5,2.0,5.2,5.9,8.225,6.85
Ravenclaw,4,10,8,5,4,4,8,7,0.7843137254901962,1.234567901234568,5.333333333333333,2,8.0,2.8,5.8500000000000005,5.300000000000001,7.8999999999999995,6.2
Slytherin,5,8,8,6,8,5,5,5,0.819672131147541,0.9876543209876544,7.0,5,6.5,2.5,5.25,4.800000000000001,7.625,7.4
Ravenclaw,6,8,6,5,9,2,6,6,1.1764705882352942,1.3114754098360657,7.0,4,8.0,3.6,5.75,5.5,7.8,6.749999999999999
Hufflepuff,6,7,6,9,6,3,7,6,0.6593406593406593,1.1475409836065575,6.0,3,7.0,3.6,7.0,7.199999999999999,6.6,5.6
Hufflepuff,5,8,5,9,5,4,6,3,0.5494505494505495,1.5686274509803924,5.0,4,7.0,1.5,5.85,7.0,6.55,5.3999999999999995
Hufflepuff,5,8,6,9,4,4,7,4,0.5494505494505495,1.3114754098360657,5.0,3,7.0,2.0,6.3,7.049999999999999,6.55,5.299999999999999
Slytherin,8,7,10,8,7,5,3,6,0.9876543209876544,0.6930693069306931,8.333333333333334,7,6.0,4.8,6.3500000000000005,4.7,7.35,8.05
Ravenclaw,5,10,7,5,7,3,8,6,0.9803921568627452,1.4084507042253522,6.333333333333333,2,8.5,3.0,5.95,5.6499999999999995,8.425,6.6
Hufflepuff,7,8,4,9,5,3,7,5,0.7692307692307693,1.9512195121951221,5.333333333333333,3,7.5,3.5,7.1,7.6,6.475,4.85
Ravenclaw,6,8,7,7,7,4,8,4,0.8450704225352114,1.1267605633802817,6.666666666666667,2,7.0,2.4,6.35,6.300000000000001,7.3500000000000005,6.199999999999999
Slytherin,5,8,8,6,10,4,7,8,0.819672131147541,0.9876543209876544,7.666666666666667,3,7.0,4.0,6.35,5.450000000000001,8.15,7.5
Hufflepuff,5,6,4,10,4,3,7,5,0.49504950495049505,1.4634146341463417,4.333333333333333,3,6.5,2.5,6.75,8.0,5.324999999999999,4.2
Hufflepuff,5,8,4,10,6,3,7,3,0.49504950495049505,1.9512195121951221,5.0,3,7.5,1.5,6.35,8.0,6.675,5.1
Ravenclaw,5,10,8,7,5,3,6,5,0.7042253521126761,1.234567901234568,6.0,4,8.5,2.5,5.75,5.750000000000001,8.225,6.85
Ravenclaw,8,10,7,6,5,5,7,5,1.3114754098360657,1.4084507042253522,6.666666666666667,3,7.5,4.0,6.65,5.5,7.775,6.299999999999999
Gryffindor,7,5,9,7,8,8,8,8,0.9859154929577465,0.5494505494505495,8.0,2,3.5,5.6,7.449999999999999,5.300000000000001,6.025,6.550000000000001
Ravenclaw,4,10,8,5,7,2,8,5,0.7843137254901962,1.234567901234568,6.333333333333333,2,9.0,2.0,5.45,5.6000000000000005,8.75,6.95
Gryffindor,10,8,6,9,7,8,10,7,1.098901098901099,1.3114754098360657,7.666666666666667,0,5.0,7.0,9.15,7.199999999999999,6.65,5.449999999999999
Ravenclaw,6,9,8,5,5,2,7,4,1.1764705882352942,1.1111111111111112,6.333333333333333,3,8.5,2.4,5.6,5.3500000000000005,7.875,6.449999999999999
Gryffindor,8,8,10,9,8,8,8,10,0.8791208791208791,0.7920792079207921,8.666666666666666,2,5.0,8.0,8.65,5.8999999999999995,7.65,7.5
Ravenclaw,3,8,9,8,6,4,8,7,0.3703703703703704,0.8791208791208791,6.0,2,7.0,2.1,6.300000000000001,6.300000000000001,7.55,6.65
Hufflepuff,4,8,3,8,7,4,7,3,0.4938271604938272,2.5806451612903225,4.666666666666667,3,7.0,1.2,5.550000000000001,7.25,6.550000000000001,5.0
Ravenclaw,4,8,8,4,4,4,5,4,0.9756097560975611,0.9876543209876544,5.333333333333333,5,7.0,1.6,4.25,4.15,6.95,6.4
Hufflepuff,7,5,4,10,5,3,7,5,0.6930693069306931,1.2195121951219514,5.333333333333333,3,6.0,3.5,7.35,8.0,5.05,4.25
Gryffindor,9,6,7,10,7,9,10,7,0.8910891089108911,0.8450704225352114,7.666666666666667,0,3.5,6.3,9.1,7.25,5.775,5.3999999999999995
Hufflepuff,9,6,5,6,3,2,6,3,1.4754098360655739,1.1764705882352942,5.666666666666667,4,7.0,2.7,6.299999999999999,6.1000000000000005,5.449999999999999,4.5
Ravenclaw,6,8,9,6,4,2,8,5,0.9836065573770493,0.8791208791208791,6.333333333333333,2,8.0,3.0,6.3,5.800000000000001,7.3999999999999995,6.15
Hufflepuff,7,8,1,10,5,5,6,4,0.6930693069306931,7.2727272727272725,4.333333333333333,4,6.5,2.8,6.8999999999999995,8.05,5.625,4.0
Gryffindor,7,8,6,7,10,7,9,10,0.9859154929577465,1.3114754098360657,7.666666666666667,1,5.5,7.0,8.1,6.300000000000001,7.375,6.3999999999999995
Slytherin,7,8,8,6,7,4,3,7,1.1475409836065575,0.9876543209876544,7.333333333333333,7,7.0,4.9,5.75,4.45,7.550000000000001,7.550000000000001
Hufflepuff,7,8,3,9,4,5,6,6,0.7692307692307693,2.5806451612903225,4.666666666666667,4,6.5,4.2,7.05,7.25,5.825,4.45
Gryffindor,9,4,10,7,10,8,9,8,1.267605633802817,0.39603960396039606,9.666666666666666,1,3.0,7.2,8.299999999999999,5.3500000000000005,6.15,7.0
Ravenclaw,4,9,9,5,7,2,5,7,0.7843137254901962,0.989010989010989,6.666666666666667,5,8.5,2.8,5.1000000000000005,4.65,8.475,7.7
Hufflepuff,3,5,6,8,4,4,6,5,0.3703703703703704,0.819672131147541,4.333333333333333,4,5.5,1.5,5.4,6.4,5.125,4.8999999999999995
Gryffindor,8,8,9,7,8,8,9,8,1.1267605633802817,0.8791208791208791,8.333333333333334,1,5.0,6.4,8.0,5.550000000000001,7.449999999999999,6.95
Hufflepuff,6,6,5,9,3,5,7,4,0.6593406593406593,1.1764705882352942,4.666666666666667,3,5.5,2.4,6.6,7.1,5.074999999999999,4.300000000000001
Slytherin,7,7,9,5,7,3,5,5,1.3725490196078431,0.7692307692307693,7.666666666666667,5,7.0,3.5,5.6,4.5,7.3999999999999995,7.300000000000001
Ravenclaw,6,8,8,6,8,5,5,6,0.9836065573770493,0.9876543209876544,7.333333333333333,5,6.5,3.6,5.75,4.800000000000001,7.625,7.4
Hufflepuff,5,6,3,10,4,5,8,4,0.49504950495049505,1.9354838709677418,4.0,2,5.5,2.0,6.8,8.15,4.874999999999999,3.65
Hufflepuff,6,7,5,9,7,4,9,2,0.6593406593406593,1.3725490196078431,6.0,1,6.5,1.2,6.7,7.75,6.475,5.1000000000000005
Ravenclaw,7,10,9,6,6,2,8,4,1.1475409836065575,1.098901098901099,7.333333333333333,2,9.0,2.8,6.3999999999999995,5.800000000000001,8.75,7.050000000000001
Hufflepuff,5,5,4,10,7,3,8,6,0.49504950495049505,1.2195121951219514,5.333333333333333,2,6.0,3.0,7.2,8.25,5.45,4.550000000000001
Slytherin,8,6,10,4,8,4,5,7,1.9512195121951221,0.594059405940594,8.666666666666666,5,6.0,5.6,6.050000000000001,3.75,7.199999999999999,7.7
Slytherin,5,6,10,6,8,4,4,7,0.819672131147541,0.594059405940594,7.666666666666667,6,6.0,3.5,5.4,4.300000000000001,7.199999999999999,7.9
Slytherin,8,8,10,6,9,3,5,7,1.3114754098360657,0.7920792079207921,9.0,5,7.5,5.6,6.550000000000001,4.7,8.475,8.35
Gryffindor,9,7,5,6,8,7,10,9,1.4754098360655739,1.3725490196078431,7.333333333333333,0,5.0,8.1,8.5,6.3500000000000005,6.299999999999999,5.15
Gryffindor,9,6,6,7,9,5,10,8,1.267605633802817,0.9836065573770493,8.0,0,5.5,7.2,8.549999999999999,6.8500000000000005,6.475,5.55
Slytherin,5,6,10,5,10,4,7,7,0.9803921568627452,0.594059405940594,8.333333333333334,3,6.0,3.5,5.9,4.65,7.6,7.800000000000001
Slytherin,6,9,9,4,7,5,3,8,1.4634146341463417,0.989010989010989,7.333333333333333,7,7.0,4.8,5.15,3.3000000000000003,8.1,8.1
Ravenclaw,4,8,7,6,8,2,5,5,0.6557377049180328,1.1267605633802817,6.333333333333333,5,8.0,2.0,4.95,5.45,7.800000000000001,7.049999999999999
Ravenclaw,6,9,9,5,6,5,5,7,1.1764705882352942,0.989010989010989,7.0,5,7.0,4.2,5.7,4.2,7.9,7.45
Hufflepuff,4,7,6,10,7,5,9,5,0.39603960396039606,1.1475409836065575,5.666666666666667,1,6.0,2.0,6.95,7.8,6.550000000000001,5.45
Gryffindor,9,9,6,7,8,7,8,8,1.267605633802817,1.4754098360655739,7.666666666666667,2,6.0,7.2,8.049999999999999,6.050000000000001,7.450000000000001,6.3
Ravenclaw,5,9,7,5,6,4,8,4,0.9803921568627452,1.267605633802817,6.0,2,7.5,2.0,5.55,5.5,7.625000000000001,6.15
Ravenclaw,7,10,9,6,8,7,7,5,1.1475409836065575,1.098901098901099,8.0,3,6.5,3.5,6.35,4.800000000000001,8.525,7.75
Ravenclaw,7,9,7,7,5,2,5,7,0.9859154929577465,1.267605633802817,6.333333333333333,5,8.5,4.9,6.5,5.8500000000000005,7.675000000000001,6.5
Hufflepuff,4,9,4,9,3,2,7,6,0.43956043956043955,2.1951219512195124,3.6666666666666665,3,8.5,2.4,6.4,7.75,6.675000000000001,4.550000000000001
Hufflepuff,7,8,3,9,9,3,8,5,0.7692307692307693,2.5806451612903225,6.333333333333333,2,7.5,3.5,7.35,8.05,7.075,5.300000000000001
Hufflepuff,4,8,3,9,6,5,7,5,0.43956043956043955,2.5806451612903225,4.333333333333333,3,6.5,2.0,6.2,7.5,6.2250000000000005,4.75
Ravenclaw,7,8,6,5,4,4,7,7,1.3725490196078431,1.3114754098360657,5.666666666666667,3,7.0,4.9,6.5,5.449999999999999,6.55,5.299999999999999
Hufflepuff,4,6,3,10,3,6,9,6,0.39603960396039606,1.9354838709677418,3.3333333333333335,1,5.0,2.4,7.15,8.25,4.55,3.2
Gryffindor,10,8,9,7,7,9,7,9,1.4084507042253522,0.8791208791208791,8.666666666666666,3,4.5,9.0,8.3,4.900000000000001,7.125,7.1
Gryffindor,8,5,5,5,10,8,7,9,1.5686274509803924,0.9803921568627452,7.666666666666667,3,3.5,7.2,7.2,5.05,5.625,5.85
Hufflepuff,5,6,6,8,7,4,7,3,0.617283950617284,0.9836065573770493,6.0,3,6.0,1.5,5.85,6.65,6.2,5.65
Hufflepuff,5,6,3,9,4,3,7,5,0.5494505494505495,1.9354838709677418,4.0,3,6.5,2.5,6.5,7.8,5.124999999999999,3.85
Slytherin,8,9,9,4,10,5,6,5,1.9512195121951221,0.989010989010989,9.0,4,7.0,4.0,5.9,4.050000000000001,8.7,8.25
Gryffindor,7,4,7,6,10,9,7,8,1.1475409836065575,0.5633802816901409,8.0,3,2.5,5.6,6.949999999999999,4.9,5.425,6.35
Hufflepuff,5,7,5,10,5,5,7,6,0.49504950495049505,1.3725490196078431,5.0,3,6.0,3.0,6.95,7.5,5.949999999999999,5.0
